dataset,method,n_test,img_size,n,m,gamma,steps,z_init_std,optimizer,lr,noise,psnr1,psnr2,psnr3,recon_error1,recon_error2,recon_error3
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,lasso-wavelet,lbfgs,0.1,random_bora,31.067,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,lasso-wavelet,lbfgs,0.1,random_bora,31.276,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,lasso-wavelet,lbfgs,0.1,random_bora,33.864,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,lasso-wavelet,lbfgs,0.1,random_bora,34.459,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,lasso-wavelet,lbfgs,0.1,random_bora,33.056,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,lasso-wavelet,lbfgs,0.1,random_bora,31.699,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,lasso-wavelet,lbfgs,0.1,random_bora,30.954,,,,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.101,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.092,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.095,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.098,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.11,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.424,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,34.543,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,35.082,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,33.533,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,32.16,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,31.29,,,,,
,,,,,,,,,,,,,,,,,
flowers,glow-main,12,64,12288,12288,0,30,0,lbfgs,0.1,random_bora,35.33,,,0.000319,,
flowers,glow-main,12,64,12288,10000,0,30,0,lbfgs,0.1,random_bora,35.005,,,0.000346,,
flowers,glow-main,12,64,12288,7500,0,30,0,lbfgs,0.1,random_bora,34.308,,,0.00041,,
flowers,glow-main,12,64,12288,5000,0,30,0,lbfgs,0.1,random_bora,33.008,,,0.000563,,
flowers,glow-main,12,64,12288,2500,0,30,0,lbfgs,0.1,random_bora,30.026,,,0.00117,,
flowers,glow-main,12,64,12288,1000,0,30,0,lbfgs,0.1,random_bora,25.272,,,0.003572,,
flowers,glow-main,12,64,12288,750,0,30,0,lbfgs,0.1,random_bora,23.981,,,0.004811,,
flowers,glow-main,12,64,12288,500,0,30,0,lbfgs,0.1,random_bora,22.217,,,0.006815,,
flowers,glow-main,12,64,12288,400,0,30,0,lbfgs,0.1,random_bora,21.333,,,0.008507,,
flowers,glow-main,12,64,12288,300,0,30,0,lbfgs,0.1,random_bora,20.306,,,0.010288,,
flowers,glow-main,12,64,12288,200,0,30,0,lbfgs,0.1,random_bora,18.664,,,0.015205,,
flowers,glow-main,12,64,12288,100,0,30,0,lbfgs,0.1,random_bora,16.325,,,0.025193,,
flowers,glow-main,12,64,12288,50,0,30,0,lbfgs,0.1,random_bora,12.891,,,0.0555,,
flowers,glow-main,12,64,12288,30,0,30,0,lbfgs,0.1,random_bora,11.777,,,0.073161,,
flowers,glow-main,12,64,12288,20,0,30,0,lbfgs,0.1,random_bora,10.853,,,0.087015,,
,,,,,,,,,,,,,,,,,
birds,glow-main,12,64,12288,12288,0,30,0,lbfgs,0.1,random_bora,33.846,,,0.000458,,
birds,glow-main,12,64,12288,10000,0,30,0,lbfgs,0.1,random_bora,33.509,,,0.000496,,
birds,glow-main,12,64,12288,7500,0,30,0,lbfgs,0.1,random_bora,32.999,,,0.000558,,
birds,glow-main,12,64,12288,5000,0,30,0,lbfgs,0.1,random_bora,32.371,,,0.000655,,
birds,glow-main,12,64,12288,2500,0,30,0,lbfgs,0.1,random_bora,30.234,,,0.001084,,
birds,glow-main,12,64,12288,1000,0,30,0,lbfgs,0.1,random_bora,26.177,,,0.002904,,
birds,glow-main,12,64,12288,750,0,30,0,lbfgs,0.1,random_bora,24.852,,,0.003844,,
birds,glow-main,12,64,12288,500,0,30,0,lbfgs,0.1,random_bora,23.031,,,0.006176,,
birds,glow-main,12,64,12288,400,0,30,0,lbfgs,0.1,random_bora,22.108,,,0.007393,,
birds,glow-main,12,64,12288,300,0,30,0,lbfgs,0.1,random_bora,21.159,,,0.009288,,
birds,glow-main,12,64,12288,200,0,30,0,lbfgs,0.1,random_bora,19.303,,,0.013315,,
birds,glow-main,12,64,12288,100,0,30,0,lbfgs,0.1,random_bora,16.591,,,0.025277,,
