Dz,Dx,method
0.22,0.067467876,random-direction
0.22,0.07565576,random-direction
0.22,0.09248756,random-direction
0.22,0.082533464,random-direction
0.22,0.061964534,random-direction
0.22,0.108414546,random-direction
0.22,0.10831491,random-direction
0.22,0.118967555,random-direction
0.22,0.079509355,random-direction
0.22,0.08231242,random-direction
0.22,0.080515936,random-direction
0.22,0.07992122,random-direction
0.22,0.05211556,random-direction
0.22,0.08837816,random-direction
0.22,0.08083042,random-direction
0.22,0.117822565,random-direction
0.22,0.08336272,random-direction
0.22,0.098507576,random-direction
0.22,0.10640389,random-direction
0.22,0.108069755,random-direction
0.22,0.104383096,random-direction
0.22,0.08312015,random-direction
0.22,0.09015569,random-direction
0.22,0.043028273,random-direction
0.22,0.07570605,random-direction
0.22,0.11236362,random-direction
0.22,0.12224647,random-direction
0.22,0.08593936,random-direction
0.22,0.06630473,random-direction
0.22,0.061063297,random-direction
0.22,0.08581144,random-direction
0.22,0.08907013,random-direction
0.22,0.088477105,random-direction
0.22,0.074271575,random-direction
0.22,0.07395201,random-direction
0.22,0.10555359,random-direction
0.22,0.08730848,random-direction
0.22,0.09194269,random-direction
0.22,0.09423863,random-direction
0.22,0.0605736,random-direction
0.22,0.09318047,random-direction
0.22,0.11306576,random-direction
0.22,0.07151332,random-direction
0.22,0.06861725,random-direction
0.22,0.09217303,random-direction
0.22,0.12785788,random-direction
0.22,0.10803561,random-direction
0.26,0.12222397,random-direction
0.26,0.10145756,random-direction
0.26,0.10065409,random-direction
0.26,0.085228726,random-direction
0.26,0.07281141,random-direction
0.26,0.077377394,random-direction
0.26,0.081465036,random-direction
0.26,0.117965676,random-direction
0.26,0.091147624,random-direction
0.26,0.11223714,random-direction
0.26,0.07625492,random-direction
0.26,0.10072931,random-direction
0.26,0.099574395,random-direction
0.26,0.097837135,random-direction
0.26,0.10456793,random-direction
0.26,0.06851341,random-direction
0.26,0.11748755,random-direction
0.26,0.105824545,random-direction
0.26,0.13499986,random-direction
0.26,0.1091038,random-direction
0.26,0.12393974,random-direction
0.26,0.10865526,random-direction
0.26,0.10743345,random-direction
0.26,0.11041324,random-direction
0.26,0.104297474,random-direction
0.26,0.0775765,random-direction
0.26,0.10689603,random-direction
0.26,0.08050357,random-direction
