dataset,method,n_test,img_size,steps,z_init_std,optimizer,lr,gamma,noise_std,psnr1,psnr2,psnr3,psnr_noisy
celeba,dcgan,12,64,20,0,lbfgs,1,1,0,21.976,21.409,21.792,
celeba,dcgan,12,64,20,0,lbfgs,1,2.5,0,21.366,21.351,21.371,
celeba,dcgan,12,64,20,0,lbfgs,1,5,0,20.745,20.825,20.689,
celeba,dcgan,12,64,20,0,lbfgs,1,7.5,0,20.274,20.341,20.203,
celeba,dcgan,12,64,20,0,lbfgs,1,10,0,20.011,20.071,20.094,
celeba,dcgan,12,64,20,0,lbfgs,1,20,0,19.04,19.023,19.167,
celeba,dcgan,12,64,20,0,lbfgs,1,30,0,18.316,18.465,18.404,
celeba,dcgan,12,64,20,0,lbfgs,1,40,0,17.735,17.854,17.794,
celeba,dcgan,12,64,20,0,lbfgs,1,50,0,17.648,17.483,17.614,
,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0,lbfgs,1,0,0.01,22.317,22.164,22.367,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.01,0.01,22.216,22.263,22.295,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.025,0.01,22.281,22.293,22.237,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.05,0.01,22.274,21.478,22.171,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.075,0.01,22.385,22.138,22.392,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.1,0.01,22.214,22.194,22.141,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.25,0.01,22.169,22.195,22.159,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.5,0.01,22.249,22.109,22.11,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.75,0.01,21.891,22.023,22.146,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,1,0.01,21.958,21.943,21.808,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,2.5,0.01,21.516,21.432,21.49,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,5,0.01,20.689,20.847,20.813,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,7.5,0.01,20.273,20.254,20.312,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,10,0.01,19.964,20.049,19.984,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,20,0.01,18.994,18.984,18.994,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,30,0.01,18.068,17.944,18.29,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,40,0.01,17.742,17.938,17.964,40.0378571428571
celeba,dcgan,12,64,20,0,lbfgs,1,50,0.01,17.421,17.377,17.435,40.0378571428571
,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0,lbfgs,1,0,0.05,22.2,22.309,22.221,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.01,0.05,22.176,22.147,22.117,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.025,0.05,22.361,22.103,22.324,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.05,0.05,22.184,22.149,22.166,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.075,0.05,22.255,22.284,22.225,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.1,0.05,22.194,22.129,22.234,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.25,0.05,22.114,21.94,22.121,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.5,0.05,22.228,21.948,22.02,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,0.75,0.05,22.178,21.965,22.095,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,1,0.05,21.855,21.734,21.843,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,2.5,0.05,21.319,21.373,21.502,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,5,0.05,20.818,20.738,20.715,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,7.5,0.05,20.224,20.283,20.314,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,10,0.05,19.924,20.06,20.013,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,20,0.05,19.004,19.07,19.057,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,30,0.05,18.376,18.374,17.981,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,40,0.05,17.754,17.794,17.864,26.2248571428571
celeba,dcgan,12,64,20,0,lbfgs,1,50,0.05,17.56,17.379,17.416,26.2248571428571
,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0,lbfgs,1,0,0.1,21.855,22.156,21.537,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.01,0.1,21.954,22.145,22.186,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.025,0.1,22.169,22.191,22.218,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.05,0.1,22.146,22.161,21.914,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.075,0.1,22.162,22.175,22.144,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.1,0.1,22.119,22.102,22.194,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.25,0.1,22.007,22.123,22.154,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.5,0.1,21.949,22.03,22.196,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,0.75,0.1,22.055,21.946,21.964,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,1,0.1,21.923,21.986,21.933,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,2.5,0.1,21.181,21.393,21.394,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,5,0.1,20.765,20.726,20.751,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,7.5,0.1,20.259,20.321,20.235,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,10,0.1,19.998,19.908,19.949,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,20,0.1,18.95,19.05,19.103,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,30,0.1,18.3,18.231,18.275,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,40,0.1,17.728,17.774,17.727,20.4862857142857
celeba,dcgan,12,64,20,0,lbfgs,1,50,0.1,17.286,17.378,17.293,20.4862857142857
,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0,lbfgs,1,0,0.2,22.064,21.874,21.825,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.01,0.2,21.758,21.73,22.018,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.025,0.2,21.83,21.766,21.98,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.05,0.2,21.819,21.84,21.869,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.075,0.2,21.978,22.02,21.824,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.1,0.2,21.848,21.863,21.9,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.25,0.2,21.958,21.797,21.674,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.5,0.2,21.844,21.799,21.709,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,0.75,0.2,21.779,21.75,21.627,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,1,0.2,21.633,21.798,21.791,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,2.5,0.2,21.108,21.255,21.228,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,5,0.2,20.582,20.544,20.621,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,7.5,0.2,20.158,20.164,20.226,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,10,0.2,19.876,19.869,19.873,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,20,0.2,18.9,18.989,18.974,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,30,0.2,18.261,18.164,18.209,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,40,0.2,17.765,17.842,17.73,15.0540714285714
celeba,dcgan,12,64,20,0,lbfgs,1,50,0.2,17.525,17.387,17.383,15.0540714285714
,,,,,,,,,,,,,
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0,0.1,22.407,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.001,0.1,23.994,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.0025,0.1,26.103,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.005,0.1,28.525,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.0075,0.1,29.746,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.01,0.1,30.293,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.025,0.1,30.015,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.05,0.1,28.498,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.075,0.1,27.584,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.1,0.1,26.819,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.25,0.1,24.489,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.5,0.1,22.817,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,0.75,0.1,21.636,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,1,0.1,20.916,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,2.5,0.1,18.85,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,5,0.1,17.317,,,20.4862857142857
celeba,glow-z-squared,12,64,20,0,lbfgs,1,7.5,0.1,16.428,,,20.4862857142857
